中文名,英文名,类别
阿司匹林,aspirin,镇痛
对乙酰氨基酚,paracetamol,镇痛
布洛芬,ibuprofen,镇痛
萘普生,naproxen,镇痛
双氯芬酸,diclofenac,镇痛
吲哚美辛,indomethacin,镇痛
塞来昔布,celecoxib,镇痛
依托考昔,etoricoxib,镇痛
美洛昔康,meloxicam,镇痛
吡罗昔康,piroxicam,镇痛
酮咯酸,ketorolac,镇痛
氟比洛芬,flurbiprofen,镇痛
洛索洛芬,loxoprofen,镇痛
尼美舒利,nimesulide,镇痛
舒林酸,sulindac,镇痛
保泰松,phenylbutazone,镇痛
酮洛芬,ketoprofen,镇痛
芬布芬,fenbufen,镇痛
吗啡,morphine,镇痛
可待因,codeine,镇痛
羟考酮,oxycodone,镇痛
芬太尼,fentanyl,镇痛
曲马多,tramadol,镇痛
哌替啶,pethidine,镇痛
美沙酮,methadone,镇痛
布桂嗪,bucinnazine,镇痛
喷他佐辛,pentazocine,镇痛
丁丙诺啡,buprenorphine,镇痛
青霉素G,penicillin G,抗生素
青霉素V,penicillin V,抗生素
阿莫西林,amoxicillin,抗生素
氨苄西林,ampicillin,抗生素
哌拉西林,piperacillin,抗生素
替卡西林,ticarcillin,抗生素
美洛西林,mezlocillin,抗生素
阿洛西林,azlocillin,抗生素
苯唑西林,oxacillin,抗生素
氯唑西林,cloxacillin,抗生素
双氯西林,dicloxacillin,抗生素
萘夫西林,nafcillin,抗生素
头孢氨苄,cephalexin,抗生素
头孢拉定,cefradine,抗生素
头孢克洛,cefaclor,抗生素
头孢呋辛,cefuroxime,抗生素
头孢克肟,cefixime,抗生素
头孢曲松,ceftriaxone,抗生素
头孢他啶,ceftazidime,抗生素
头孢哌酮,cefoperazone,抗生素
头孢唑林,cefazolin,抗生素
头孢噻肟,cefotaxime,抗生素
头孢地尼,cefdinir,抗生素
头孢丙烯,cefprozil,抗生素
头孢替安,cefotiam,抗生素
头孢吡肟,cefepime,抗生素
头孢泊肟,cefpodoxime,抗生素
头孢布烯,ceftibuten,抗生素
美罗培南,meropenem,抗生素
亚胺培南,imipenem,抗生素
厄他培南,ertapenem,抗生素
庆大霉素,gentamicin,抗生素
阿米卡星,amikacin,抗生素
链霉素,streptomycin,抗生素
妥布霉素,tobramycin,抗生素
卡那霉素,kanamycin,抗生素
新霉素,neomycin,抗生素
红霉素,erythromycin,抗生素
阿奇霉素,azithromycin,抗生素
克拉霉素,clarithromycin,抗生素
罗红霉素,roxithromycin,抗生素
交沙霉素,josamycin,抗生素
四环素,tetracycline,抗生素
多西环素,doxycycline,抗生素
米诺环素,minocycline,抗生素
替加环素,tigecycline,抗生素
土霉素,oxytetracycline,抗生素
氯霉素,chloramphenicol,抗生素
甲硝唑,metronidazole,抗生素
替硝唑,tinidazole,抗生素
奥硝唑,ornidazole,抗生素
左氧氟沙星,levofloxacin,抗生素
环丙沙星,ciprofloxacin,抗生素
莫西沙星,moxifloxacin,抗生素
诺氟沙星,norfloxacin,抗生素
氧氟沙星,ofloxacin,抗生素
洛美沙星,lomefloxacin,抗生素
司帕沙星,sparfloxacin,抗生素
加替沙星,gatifloxacin,抗生素
依诺沙星,enoxacin,抗生素
磺胺甲噁唑,sulfamethoxazole,抗生素
磺胺嘧啶,sulfadiazine,抗生素
甲氧苄啶,trimethoprim,抗生素
呋喃妥因,nitrofurantoin,抗生素
呋喃唑酮,furazolidone,抗生素
